Modelo,Preço (R$),Tamanho (m²),Quartos,Banheiros,Garagem (Vagas),Distância do Centro (km),Segurança (Estrelas),Mobiliado,Aceita Pets,
,0.25,0.2,0.1,0.05,0.05,0.15,0.1,0.05,0.05,
,number,number,number,number,number,number,number,boolean,boolean,
,i_proportional,proportional,proportional,proportional,proportional,i_proportional,proportional,boolean,boolean,
BOM,2000,80,3,2,2,3,5,TRUE,TRUE,
NEUTRO,3000,60,2,1,1,7,3,TRUE,FALSE,
EXEMPLO,2500,70,2,2,1,5,4,TRUE,TRUE,
Casa Praia Mar Azul,3800,100,3,2,2,1,5,TRUE,TRUE,
Chalé Serra Verde,2900,60,2,1,1,12,4,TRUE,FALSE,
Apto Beira Mar,4200,80,2,2,1,0.5,5,TRUE,TRUE,
Flat Centro Urbano,3500,55,1,1,0,0.2,3,TRUE,FALSE,
Cabana Refúgio da Montanha,2700,50,1,1,1,15,5,FALSE,FALSE,
Casa Família Completa,5000,120,4,3,2,3,4,TRUE,TRUE,
Estúdio Moderno,2300,40,1,1,0,1.5,4,TRUE,TRUE,
Apto Econômico,2000,45,1,1,0,2,3,TRUE,FALSE,
Loft Criativo,3100,50,1,1,0,1,4,TRUE,TRUE,
Residência Premium,6000,150,5,4,3,4,5,TRUE,TRUE,
